Height Pressure Rho
6.606610e+03 2.984041e+04 5.110168e-01
6.656660e+03 2.952746e+04 5.061413e-01
6.706710e+03 2.921780e+04 5.013128e-01
6.756760e+03 2.891139e+04 4.965308e-01
6.806810e+03 2.860818e+04 4.917948e-01
6.856860e+03 2.830816e+04 4.871045e-01
6.906910e+03 2.801129e+04 4.824594e-01
6.956960e+03 2.771753e+04 4.778590e-01
7.007010e+03 2.742685e+04 4.733029e-01
7.057060e+03 2.713921e+04 4.687906e-01
7.107110e+03 2.685460e+04 4.643218e-01
7.157160e+03 2.657297e+04 4.598961e-01
7.207210e+03 2.629429e+04 4.555129e-01
7.257260e+03 2.601853e+04 4.511720e-01
7.307310e+03 2.574567e+04 4.468728e-01
7.357360e+03 2.547567e+04 4.426150e-01
7.407410e+03 2.520850e+04 4.383982e-01
7.457460e+03 2.494413e+04 4.342220e-01
7.507510e+03 2.468254e+04 4.300860e-01
7.557560e+03 2.442368e+04 4.259898e-01
7.607610e+03 2.416755e+04 4.219330e-01
7.657660e+03 2.391409e+04 4.179152e-01
7.707710e+03 2.366330e+04 4.139360e-01
7.757760e+03 2.341514e+04 4.099952e-01
7.807810e+03 2.316958e+04 4.060922e-01
7.857860e+03 2.292659e+04 4.022268e-01
7.907910e+03 2.268615e+04 3.983986e-01
7.957960e+03 2.244824e+04 3.946072e-01
8.008010e+03 2.221282e+04 3.908522e-01
8.058060e+03 2.197987e+04 3.871333e-01
8.108110e+03 2.174936e+04 3.834502e-01
8.158160e+03 2.152127e+04 3.798025e-01
8.208210e+03 2.129557e+04 3.761899e-01
8.258260e+03 2.107224e+04 3.726120e-01
8.308310e+03 2.085125e+04 3.690685e-01
8.358360e+03 2.063257e+04 3.655590e-01
8.408410e+03 2.041619e+04 3.620833e-01
8.458460e+03 2.020208e+04 3.586409e-01
8.508510e+03 1.999022e+04 3.552317e-01
8.558560e+03 1.978058e+04 3.518551e-01
8.608610e+03 1.957313e+04 3.485111e-01
8.658660e+03 1.936786e+04 3.451991e-01
8.708710e+03 1.916475e+04 3.419190e-01
8.758760e+03 1.896376e+04 3.386703e-01
8.808810e+03 1.876489e+04 3.354529e-01
8.858860e+03 1.856809e+04 3.322664e-01
8.908910e+03 1.837336e+04 3.291104e-01
8.958960e+03 1.818068e+04 3.259848e-01
9.009010e+03 1.799001e+04 3.228892e-01
9.059060e+03 1.780135e+04 3.198233e-01
9.109110e+03 1.761466e+04 3.167868e-01
9.159160e+03 1.742993e+04 3.137794e-01
9.209210e+03 1.724714e+04 3.108010e-01
9.259260e+03 1.706626e+04 3.078511e-01
9.309310e+03 1.688728e+04 3.049295e-01
9.359360e+03 1.671018e+04 3.020359e-01
9.409410e+03 1.653494e+04 2.991701e-01
9.459460e+03 1.636153e+04 2.963318e-01
9.509510e+03 1.618994e+04 2.935208e-01
9.559560e+03 1.602016e+04 2.907367e-01
9.609610e+03 1.585215e+04 2.879793e-01
9.659660e+03 1.568590e+04 2.852483e-01
9.709710e+03 1.552140e+04 2.825436e-01
9.759760e+03 1.535862e+04 2.798647e-01
9.809810e+03 1.519755e+04 2.772116e-01
9.859860e+03 1.503817e+04 2.745839e-01
